id,market_id,question,entry_iso,entry_no_price,investment,shares,status,payout,pnl
32,1781676,Spread: UD Las Palmas (-1.5),2026-04-10T06:14:15.917871+00:00,0.9,17.5,19.444444444444443,OPEN,0.0,0.0
31,1787239,Nottingham Forest FC vs. Aston Villa FC: O/U 4.5,2026-04-10T06:14:14.765117+00:00,0.89,25.0,28.089887640449437,OPEN,0.0,0.0
30,1787309,1. FC Köln vs. SV Werder Bremen: O/U 4.5,2026-04-10T06:14:13.703276+00:00,0.85,25.0,29.411764705882355,OPEN,0.0,0.0
29,1771134,AJ Auxerre vs. FC Nantes: O/U 4.5,2026-04-10T06:14:12.623397+00:00,0.9199999999999999,20.0,21.73913043478261,OPEN,0.0,0.0
28,1595828,Spread: Club Tijuana (-1.5),2026-04-10T06:14:11.319340+00:00,0.93,20.0,21.50537634408602,OPEN,0.0,0.0
27,1788195,Athletic Club vs. Villarreal CF: O/U 4.5,2026-04-10T06:14:09.953559+00:00,0.88,25.0,28.40909090909091,OPEN,0.0,0.0
26,1771116,Spread: VfL Wolfsburg (-2.5),2026-04-10T06:14:07.837222+00:00,0.9400000000000001,20.0,21.27659574468085,OPEN,0.0,0.0
25,1771119,Atalanta BC vs. Juventus FC: O/U 4.5,2026-04-10T06:14:06.463028+00:00,0.86,25.0,29.069767441860467,OPEN,0.0,0.0
24,1771217,Cagliari Calcio vs. US Cremonese: O/U 4.5,2026-04-10T06:14:05.232671+00:00,0.93,20.0,21.50537634408602,OPEN,0.0,0.0
23,1771238,Spread: 1. FC Union Berlin (-2.5),2026-04-10T06:14:04.169965+00:00,0.9400000000000001,20.0,21.27659574468085,OPEN,0.0,0.0
22,1787313,Spread: Tottenham Hotspur FC (-1.5),2026-04-10T06:14:03.026868+00:00,0.8565737051792829,25.0,29.186046511627907,OPEN,0.0,0.0
21,1787310,Spread: Sunderland AFC (-1.5),2026-04-10T05:44:42.634449+00:00,0.85,15.0,17.647058823529413,OPEN,0.0,0.0
20,1788189,Spread: Villarreal CF (-1.5),2026-04-10T05:44:41.741382+00:00,0.8899999999999999,17.5,19.662921348314608,OPEN,0.0,0.0
19,1580606,Spread: Al Taawoun Saudi Club (-2.5),2026-04-10T05:44:40.838625+00:00,0.93,17.5,18.817204301075268,OPEN,0.0,0.0
18,1771228,Spread: 1. FC Heidenheim 1846 (-1.5),2026-04-10T05:44:39.704447+00:00,0.88,17.5,19.886363636363637,OPEN,0.0,0.0
17,1772404,Spread: Club Atlético de Madrid (-1.5),2026-04-10T05:44:38.428234+00:00,0.8300000000000001,17.5,21.08433734939759,OPEN,0.0,0.0
16,1772442,Real Sociedad de Fútbol vs. Deportivo Alavés: O/U 4.5,2026-04-10T05:44:37.193636+00:00,0.87,17.5,20.114942528735632,OPEN,0.0,0.0
15,1595843,Spread: Club Puebla (-2.5),2026-04-10T05:44:36.018616+00:00,0.93,15.0,16.129032258064516,OPEN,0.0,0.0
14,1787327,Sunderland AFC vs. Tottenham Hotspur FC: O/U 4.5,2026-04-10T05:44:34.834569+00:00,0.88,17.5,19.886363636363637,OPEN,0.0,0.0
13,1595849,Club Puebla vs. Club León FC: O/U 4.5,2026-04-10T05:44:33.942189+00:00,0.8467629462227257,17.5,20.666941176470587,OPEN,0.0,0.0
12,1589270,Spread: Brisbane Roar FC (-2.5),2026-04-10T05:44:32.763326+00:00,0.93,15.0,16.129032258064516,OPEN,0.0,0.0
11,1588545,Spread: Dalian Yingbo FC (-1.5),2026-04-10T05:44:31.669900+00:00,0.8300000000000001,17.5,21.08433734939759,OPEN,0.0,0.0
10,1589262,Spread: Central Coast Mariners FC (-1.5),2026-04-10T05:44:30.595232+00:00,0.87,25.0,28.735632183908045,OPEN,0.0,0.0
9,1588547,Spread: Zhejiang Zhiye FC (-1.5),2026-04-10T05:44:28.448650+00:00,0.84,25.0,29.761904761904763,OPEN,0.0,0.0
8,1599420,Colorado Rapids SC vs. Houston Dynamo: O/U 4.5,2026-04-10T05:44:27.115615+00:00,0.84,25.0,29.761904761904763,OPEN,0.0,0.0
7,1599594,Austin FC vs. Los Angeles Galaxy: O/U 4.5,2026-04-10T05:44:25.907356+00:00,0.83,25.0,30.120481927710845,OPEN,0.0,0.0
6,1599613,Toronto FC vs. FC Cincinnati: O/U 4.5,2026-04-10T05:44:24.845726+00:00,0.85,25.0,29.411764705882355,OPEN,0.0,0.0
5,1598829,Qingdao Xihaian FC vs. Liaoning Tieren FC: O/U 4.5,2026-04-10T05:44:23.686848+00:00,0.89,25.0,28.089887640449437,OPEN,0.0,0.0
4,1596936,Leicester City FC vs. Swansea City AFC: O/U 4.5,2026-04-10T05:44:22.577740+00:00,0.87,25.0,28.735632183908045,OPEN,0.0,0.0
3,1597119,Norwich City FC vs. Ipswich Town FC: O/U 4.5,2026-04-10T05:44:21.504737+00:00,0.88,25.0,28.40909090909091,OPEN,0.0,0.0
2,1595837,FC Juárez vs. Club Tijuana: O/U 4.5,2026-04-10T05:44:20.446525+00:00,0.8570688246198003,25.0,29.16918604651163,OPEN,0.0,0.0
1,1589280,Central Coast Mariners FC vs. Brisbane Roar FC: O/U 4.5,2026-04-10T05:44:19.200142+00:00,0.84,25.0,29.761904761904763,OPEN,0.0,0.0
